Error Threshold	Hidden Size = 8	Hidden Size = 9	Hidden Size = 10	Hidden Size = 11	Hidden Size = 12	Hidden Size = 13	Hidden Size = 14	Hidden Size = 15	Hidden Size = 16	Hidden Size = 17	Hidden Size = 18	Hidden Size = 19	Hidden Size = 20	Hidden Size = 21	Hidden Size = 22	Hidden Size = 23	Hidden Size = 24
0.2	0.5711462450592886	0.5385375494071146	0.5938735177865613	0.5494071146245059	0.6104249011857708	0.5770750988142292	0.5822628458498024	0.5716403162055336	0.5830039525691699	0.5711462450592886	0.570899209486166	0.5503952569169961	0.5830039525691699	0.5718873517786561	0.549407114624506	0.5988142292490118	0.5933794466403163	
0.15000000000000002	0.6148715415019762	0.5558300395256917	0.6383399209486165	0.5988142292490118	0.5941205533596837	0.6375988142292489	0.6148715415019763	0.6094367588932808	0.6331521739130435	0.58300395256917	0.5933794466403162	0.6049901185770752	0.616106719367589	0.6484683794466403	0.6163537549407115	0.5936264822134388	0.6143774703557313	
0.10000000000000002	0.6378458498023716	0.665513833992095	0.6771245059288536	0.6368577075098814	0.6766304347826088	0.6094367588932806	0.6763833992094863	0.6373517786561265	0.6484683794466404	0.6425395256916997	0.5990612648221344	0.6267292490118578	0.616106719367589	0.6269762845849802	0.6264822134387352	0.6600790513833993	0.6326581027667983	
0.05000000000000002	0.609189723320158	0.5763339920948617	0.6371047430830039	0.6091897233201581	0.6435276679841897	0.6598320158102767	0.6091897233201581	0.6435276679841898	0.6492094861660079	0.5931324110671937	0.6650197628458497	0.6815711462450592	0.6257411067193676	0.6054841897233202	0.6316699604743083	0.6316699604743083	0.6536561264822134	



Data Set	Hidden Size	Error Threshold	Accuracy0
3	17	0.15	60.87%
4	17	0.15	43.48%
5	17	0.15	52.17%
6	17	0.15	63.64%
7	17	0.15	63.64%
0	18	0.15	65.22%
1	18	0.15	73.91%
2	18	0.15	56.52%
3	18	0.15	60.87%
4	18	0.15	56.52%
5	18	0.15	43.48%
6	18	0.15	50%
7	18	0.15	68.18%
0	19	0.15	56.52%
1	19	0.15	82.61%
2	19	0.15	52.17%
3	19	0.15	60.87%
4	19	0.15	43.48%
5	19	0.15	56.52%
6	19	0.15	68.18%
7	19	0.15	63.64%
0	20	0.15	56.52%
1	20	0.15	60.87%
2	20	0.15	52.17%
3	20	0.15	69.57%
4	20	0.15	65.22%
5	20	0.15	52.17%
6	20	0.15	63.64%
7	20	0.15	72.73%
0	21	0.15	65.22%
1	21	0.15	69.57%
2	21	0.15	52.17%
3	21	0.15	78.26%
4	21	0.15	60.87%
5	21	0.15	60.87%
6	21	0.15	63.64%
7	21	0.15	68.18%
0	22	0.15	43.48%
1	22	0.15	69.57%
2	22	0.15	56.52%
3	22	0.15	73.91%
4	22	0.15	56.52%
5	22	0.15	52.17%
6	22	0.15	77.27%
7	22	0.15	63.64%
0	23	0.15	60.87%
1	23	0.15	60.87%
2	23	0.15	52.17%
3	23	0.15	69.57%
4	23	0.15	65.22%
5	23	0.15	43.48%
6	23	0.15	59.09%
7	23	0.15	63.64%
0	24	0.15	73.91%
1	24	0.15	69.57%
2	24	0.15	47.83%
3	24	0.15	73.91%
4	24	0.15	56.52%
5	24	0.15	65.22%
6	24	0.15	40.91%
7	24	0.15	63.64%
0	8	0.1	65.22%
1	8	0.1	56.52%
2	8	0.1	56.52%
3	8	0.1	60.87%
4	8	0.1	65.22%
5	8	0.1	69.57%
6	8	0.1	72.73%
7	8	0.1	63.64%
0	9	0.1	69.57%
1	9	0.1	73.91%
2	9	0.1	47.83%
3	9	0.1	73.91%
4	9	0.1	69.57%
5	9	0.1	52.17%
6	9	0.1	72.73%
7	9	0.1	72.73%
0	10	0.1	65.22%
1	10	0.1	65.22%
2	10	0.1	56.52%
3	10	0.1	78.26%
4	10	0.1	56.52%
5	10	0.1	60.87%
6	10	0.1	81.82%
7	10	0.1	77.27%
0	11	0.1	69.57%
1	11	0.1	56.52%
2	11	0.1	65.22%
3	11	0.1	73.91%
4	11	0.1	65.22%
5	11	0.1	60.87%
6	11	0.1	68.18%
7	11	0.1	50%
0	12	0.1	69.57%
1	12	0.1	65.22%
2	12	0.1	60.87%
3	12	0.1	78.26%
4	12	0.1	65.22%
5	12	0.1	52.17%
6	12	0.1	77.27%
7	12	0.1	72.73%
0	13	0.1	69.57%
1	13	0.1	56.52%
2	13	0.1	52.17%
3	13	0.1	60.87%
4	13	0.1	73.91%
5	13	0.1	60.87%
6	13	0.1	63.64%
7	13	0.1	50%
0	14	0.1	73.91%
1	14	0.1	69.57%
2	14	0.1	60.87%
3	14	0.1	60.87%
4	14	0.1	65.22%
5	14	0.1	65.22%
6	14	0.1	72.73%
7	14	0.1	72.73%
0	15	0.1	69.57%
1	15	0.1	60.87%
2	15	0.1	56.52%
3	15	0.1	73.91%
4	15	0.1	65.22%
5	15	0.1	56.52%
6	15	0.1	68.18%
7	15	0.1	59.09%
0	16	0.1	69.57%
1	16	0.1	65.22%
2	16	0.1	56.52%
3	16	0.1	69.57%
4	16	0.1	60.87%
5	16	0.1	65.22%
6	16	0.1	72.73%
7	16	0.1	59.09%
0	17	0.1	73.91%
1	17	0.1	69.57%
2	17	0.1	60.87%
3	17	0.1	91.3%
4	17	0.1	56.52%
5	17	0.1	39.13%
6	17	0.1	59.09%
7	17	0.1	63.64%
0	18	0.1	56.52%
1	18	0.1	65.22%
2	18	0.1	52.17%
3	18	0.1	56.52%
4	18	0.1	60.87%
5	18	0.1	65.22%
6	18	0.1	63.64%
7	18	0.1	59.09%
0	19	0.1	52.17%
1	19	0.1	60.87%
2	19	0.1	65.22%
3	19	0.1	73.91%
4	19	0.1	65.22%
5	19	0.1	52.17%
6	19	0.1	68.18%
7	19	0.1	63.64%
0	20	0.1	56.52%
1	20	0.1	60.87%
2	20	0.1	56.52%
3	20	0.1	65.22%
4	20	0.1	73.91%
5	20	0.1	43.48%
6	20	0.1	63.64%
7	20	0.1	72.73%
0	21	0.1	60.87%
1	21	0.1	65.22%
2	21	0.1	65.22%
3	21	0.1	65.22%
4	21	0.1	52.17%
5	21	0.1	56.52%
6	21	0.1	81.82%
7	21	0.1	54.55%
0	22	0.1	60.87%
1	22	0.1	73.91%
2	22	0.1	60.87%
3	22	0.1	65.22%
4	22	0.1	69.57%
5	22	0.1	43.48%
6	22	0.1	59.09%
7	22	0.1	68.18%
0	23	0.1	60.87%
1	23	0.1	60.87%
2	23	0.1	56.52%
3	23	0.1	82.61%
4	23	0.1	69.57%
5	23	0.1	52.17%
6	23	0.1	81.82%
7	23	0.1	63.64%
0	24	0.1	60.87%
1	24	0.1	69.57%
2	24	0.1	39.13%
3	24	0.1	65.22%
4	24	0.1	69.57%
5	24	0.1	60.87%
6	24	0.1	63.64%
7	24	0.1	77.27%
0	8	0.05	65.22%
1	8	0.05	56.52%
2	8	0.05	47.83%
3	8	0.05	73.91%
4	8	0.05	73.91%
5	8	0.05	60.87%
6	8	0.05	54.55%
7	8	0.05	54.55%
0	9	0.05	65.22%
1	9	0.05	73.91%
2	9	0.05	47.83%
3	9	0.05	52.17%
4	9	0.05	65.22%
5	9	0.05	52.17%
6	9	0.05	63.64%
7	9	0.05	40.91%
0	10	0.05	65.22%
1	10	0.05	69.57%
2	10	0.05	52.17%
3	10	0.05	65.22%
4	10	0.05	65.22%
5	10	0.05	69.57%
6	10	0.05	72.73%
7	10	0.05	50%
0	11	0.05	65.22%
1	11	0.05	60.87%
2	11	0.05	69.57%
3	11	0.05	56.52%
4	11	0.05	69.57%
5	11	0.05	56.52%
6	11	0.05	59.09%
7	11	0.05	50%
0	12	0.05	69.57%
1	12	0.05	65.22%
2	12	0.05	56.52%
3	12	0.05	73.91%
4	12	0.05	56.52%
5	12	0.05	52.17%
6	12	0.05	72.73%
7	12	0.05	68.18%
0	13	0.05	78.26%
1	13	0.05	56.52%
2	13	0.05	56.52%
3	13	0.05	69.57%
4	13	0.05	52.17%
5	13	0.05	73.91%
6	13	0.05	72.73%
7	13	0.05	68.18%
0	14	0.05	65.22%
1	14	0.05	69.57%
2	14	0.05	56.52%
3	14	0.05	60.87%
4	14	0.05	60.87%
5	14	0.05	65.22%
6	14	0.05	59.09%
7	14	0.05	50%
0	15	0.05	65.22%
1	15	0.05	60.87%
2	15	0.05	60.87%
3	15	0.05	60.87%
4	15	0.05	73.91%
5	15	0.05	52.17%
6	15	0.05	68.18%
7	15	0.05	72.73%
0	16	0.05	60.87%
1	16	0.05	69.57%
2	16	0.05	52.17%
3	16	0.05	69.57%
4	16	0.05	69.57%
5	16	0.05	52.17%
6	16	0.05	81.82%
7	16	0.05	63.64%
0	17	0.05	60.87%
1	17	0.05	65.22%
2	17	0.05	56.52%
3	17	0.05	60.87%
4	17	0.05	60.87%
5	17	0.05	56.52%
6	17	0.05	63.64%
7	17	0.05	50%
0	18	0.05	73.91%
1	18	0.05	69.57%
2	18	0.05	60.87%
3	18	0.05	69.57%
4	18	0.05	65.22%
5	18	0.05	56.52%
6	18	0.05	77.27%
7	18	0.05	59.09%
0	19	0.05	69.57%
1	19	0.05	69.57%
2	19	0.05	56.52%
3	19	0.05	78.26%
4	19	0.05	69.57%
5	19	0.05	60.87%
6	19	0.05	81.82%
7	19	0.05	59.09%
0	20	0.05	65.22%
1	20	0.05	69.57%
2	20	0.05	60.87%
3	20	0.05	60.87%
4	20	0.05	78.26%
5	20	0.05	52.17%
6	20	0.05	77.27%
7	20	0.05	36.36%
0	21	0.05	52.17%
1	21	0.05	65.22%
2	21	0.05	43.48%
3	21	0.05	60.87%
4	21	0.05	65.22%
5	21	0.05	56.52%
6	21	0.05	77.27%
7	21	0.05	63.64%
0	22	0.05	60.87%
1	22	0.05	60.87%
2	22	0.05	60.87%
3	22	0.05	69.57%
4	22	0.05	65.22%
5	22	0.05	65.22%
6	22	0.05	72.73%
7	22	0.05	50%
0	23	0.05	60.87%
1	23	0.05	65.22%
2	23	0.05	60.87%
3	23	0.05	60.87%
4	23	0.05	82.61%
5	23	0.05	52.17%
6	23	0.05	54.55%
7	23	0.05	68.18%
0	24	0.05	60.87%
1	24	0.05	65.22%
2	24	0.05	52.17%
3	24	0.05	82.61%
4	24	0.05	69.57%
5	24	0.05	65.22%
6	24	0.05	72.73%
7	24	0.05	54.55%

